held_out_event,feature,coefficient,C
EDR022,D_e_normalized_abs,0.0,3.0
EDR022,E_prime_normalized,0.0,3.0
EDR022,E_parallel_fraction,0.0,3.0
EDR022,J_parallel_fraction,0.0,3.0
EDR022,J_parallel_fraction_abs,0.0,3.0
EDR022,J_perpendicular_fraction,0.0,3.0
EDR022,Q,0.06327927997426656,3.0
EDR022,pressure_anisotropy,0.0,3.0
EDR022,pressure_deviatoric_fraction,0.0,3.0
EDR022,eigenvalue_min_max_ratio,0.0,3.0
EDR022,eigenvalue_mid_max_ratio,0.0,3.0
EDR022,electron_beta,0.033644128885793344,3.0
EDR022,thermal_current_fraction,0.6459056136861567,3.0
EDR023,D_e_normalized,0.0,3.0
EDR023,D_e_normalized_abs,0.0,3.0
EDR023,E_prime_normalized,0.0,3.0
EDR023,E_parallel_fraction,0.0,3.0
EDR023,J_parallel_fraction,0.0,3.0
EDR023,J_parallel_fraction_abs,0.0,3.0
EDR023,J_perpendicular_fraction,0.0,3.0
EDR023,Q,0.06137921591090491,3.0
EDR023,pressure_anisotropy,0.0,3.0
EDR023,pressure_deviatoric_fraction,0.0,3.0
EDR023,eigenvalue_min_max_ratio,0.0,3.0
EDR023,eigenvalue_mid_max_ratio,0.0,3.0
EDR023,electron_beta,0.03524980865210357,3.0
EDR023,thermal_current_fraction,0.6183515406429282,3.0
EDR025,D_e_normalized,0.0,3.0
EDR025,D_e_normalized_abs,0.0,3.0
EDR025,E_prime_normalized,0.0,3.0
EDR025,E_parallel_fraction,0.0,3.0
EDR025,J_parallel_fraction,0.0,3.0
EDR025,J_parallel_fraction_abs,0.0,3.0
EDR025,J_perpendicular_fraction,0.0,3.0
EDR025,Q,0.06602046548016906,3.0
EDR025,pressure_anisotropy,0.0,3.0
EDR025,pressure_deviatoric_fraction,0.0,3.0
EDR025,eigenvalue_min_max_ratio,0.0,3.0
EDR025,eigenvalue_mid_max_ratio,0.0,3.0
EDR025,electron_beta,0.02732369621840666,3.0
EDR025,thermal_current_fraction,0.6498106383260022,3.0
EDR028,D_e_normalized,0.0,3.0
EDR028,D_e_normalized_abs,0.0,3.0
EDR028,E_prime_normalized,0.0,3.0
EDR028,E_parallel_fraction,0.0,3.0
EDR028,J_parallel_fraction,0.0,3.0
EDR028,J_parallel_fraction_abs,0.0,3.0
EDR028,J_perpendicular_fraction,0.0,3.0
EDR028,Q,0.06862444670492067,3.0
EDR028,pressure_anisotropy,0.0,3.0
EDR028,pressure_deviatoric_fraction,0.0,3.0
EDR028,eigenvalue_min_max_ratio,0.0,3.0
EDR028,eigenvalue_mid_max_ratio,0.0,3.0
EDR028,electron_beta,0.03728278467634311,3.0
EDR028,thermal_current_fraction,0.6163054706337974,3.0
EDR034,D_e_normalized,0.0,3.0
EDR034,D_e_normalized_abs,0.0,3.0
EDR034,E_prime_normalized,0.0,3.0
EDR034,E_parallel_fraction,0.0,3.0
EDR034,J_parallel_fraction,0.0,3.0
EDR034,J_parallel_fraction_abs,0.0,3.0
EDR034,J_perpendicular_fraction,0.0,3.0
EDR034,Q,0.06820207522565139,3.0
EDR034,pressure_anisotropy,0.0,3.0
EDR034,pressure_deviatoric_fraction,0.0,3.0
EDR034,eigenvalue_min_max_ratio,0.0,3.0
EDR034,eigenvalue_mid_max_ratio,0.0,3.0
EDR034,electron_beta,0.03964053307253884,3.0
EDR034,thermal_current_fraction,0.6676339665240562,3.0
EDR035,D_e_normalized,0.0,3.0
EDR035,D_e_normalized_abs,0.0,3.0
EDR035,E_prime_normalized,0.0,3.0
EDR035,E_parallel_fraction,0.0,3.0
EDR035,J_parallel_fraction,0.0,3.0
EDR035,J_parallel_fraction_abs,0.0,3.0
EDR035,J_perpendicular_fraction,0.0,3.0
EDR035,Q,0.061421472500393266,3.0
EDR035,pressure_anisotropy,0.0,3.0
EDR035,pressure_deviatoric_fraction,0.0,3.0
EDR035,eigenvalue_min_max_ratio,0.0,3.0
EDR035,eigenvalue_mid_max_ratio,0.0,3.0
EDR035,electron_beta,0.04071714269850743,3.0
EDR035,thermal_current_fraction,0.6412920702956958,3.0
EDR041,D_e_normalized,0.0,3.0
EDR041,D_e_normalized_abs,0.0,3.0
EDR041,E_prime_normalized,0.0,3.0
EDR041,E_parallel_fraction,0.0,3.0
EDR041,J_parallel_fraction,0.0,3.0
EDR041,J_parallel_fraction_abs,0.0,3.0
EDR041,J_perpendicular_fraction,0.0,3.0
EDR041,Q,0.06634846077285704,3.0
EDR041,pressure_anisotropy,0.0,3.0
EDR041,pressure_deviatoric_fraction,0.0,3.0
EDR041,eigenvalue_min_max_ratio,0.0,3.0
EDR041,eigenvalue_mid_max_ratio,0.0,3.0
EDR041,electron_beta,0.038683304325478444,3.0
EDR041,thermal_current_fraction,0.6444413273658617,3.0
EDR054,D_e_normalized,0.0,3.0
EDR054,D_e_normalized_abs,0.0,3.0
EDR054,E_prime_normalized,0.0,3.0
EDR054,E_parallel_fraction,0.0,3.0
EDR054,J_parallel_fraction,0.0,3.0
EDR054,J_parallel_fraction_abs,0.0,3.0
EDR054,J_perpendicular_fraction,0.0,3.0
EDR054,Q,0.06723036148720532,3.0
EDR054,pressure_anisotropy,0.0,3.0
EDR054,pressure_deviatoric_fraction,0.0,3.0
EDR054,eigenvalue_min_max_ratio,0.0,3.0
EDR054,eigenvalue_mid_max_ratio,0.0,3.0
EDR054,electron_beta,0.04173413387700575,3.0
EDR054,thermal_current_fraction,0.6478376927120372,3.0
EDR060,D_e_normalized,0.0,3.0
EDR060,D_e_normalized_abs,0.0,3.0
EDR060,E_prime_normalized,0.0,3.0
EDR060,E_parallel_fraction,0.0,3.0
EDR060,J_parallel_fraction,0.0,3.0
EDR060,J_parallel_fraction_abs,0.0,3.0
EDR060,J_perpendicular_fraction,0.0,3.0
EDR060,Q,0.06563811638543439,3.0
EDR060,pressure_anisotropy,0.0,3.0
EDR060,pressure_deviatoric_fraction,0.0,3.0
EDR060,eigenvalue_min_max_ratio,0.0,3.0
EDR060,eigenvalue_mid_max_ratio,0.0,3.0
EDR060,electron_beta,0.03751084814241852,3.0
EDR060,thermal_current_fraction,0.6538521455817174,3.0
EDR064,D_e_normalized,0.0,3.0
EDR064,D_e_normalized_abs,0.0,3.0
EDR064,E_prime_normalized,0.0,3.0
EDR064,E_parallel_fraction,0.0,3.0
EDR064,J_parallel_fraction,0.0,3.0
EDR064,J_parallel_fraction_abs,0.0,3.0
EDR064,J_perpendicular_fraction,0.0,3.0
EDR064,Q,0.06688286590884905,3.0
EDR064,pressure_anisotropy,0.0,3.0
EDR064,pressure_deviatoric_fraction,0.0,3.0
EDR064,eigenvalue_min_max_ratio,0.0,3.0
EDR064,eigenvalue_mid_max_ratio,0.0,3.0
EDR064,electron_beta,0.035469931983228585,3.0
EDR064,thermal_current_fraction,0.6700049136576122,3.0
EDR066,D_e_normalized,0.0,3.0
EDR066,D_e_normalized_abs,0.0,3.0
EDR066,E_prime_normalized,0.0,3.0
EDR066,E_parallel_fraction,0.0,3.0
EDR066,J_parallel_fraction,0.0,3.0
EDR066,J_parallel_fraction_abs,0.0,3.0
EDR066,J_perpendicular_fraction,0.0,3.0
EDR066,Q,0.060307757532095496,3.0
EDR066,pressure_anisotropy,0.0,3.0
EDR066,pressure_deviatoric_fraction,0.0,3.0
EDR066,eigenvalue_min_max_ratio,0.0,3.0
EDR066,eigenvalue_mid_max_ratio,0.0,3.0
EDR066,electron_beta,0.032346416414069074,3.0
EDR066,thermal_current_fraction,0.6720753471848365,3.0
EDR072,D_e_normalized,0.0,3.0
EDR072,D_e_normalized_abs,0.0,3.0
EDR072,E_prime_normalized,0.0,3.0
EDR072,E_parallel_fraction,0.0,3.0
EDR072,J_parallel_fraction,0.0,3.0
EDR072,J_parallel_fraction_abs,0.0,3.0
EDR072,J_perpendicular_fraction,0.0,3.0
EDR072,Q,0.06591684456256157,3.0
EDR072,pressure_anisotropy,0.0,3.0
EDR072,pressure_deviatoric_fraction,0.0,3.0
EDR072,eigenvalue_min_max_ratio,0.0,3.0
EDR072,eigenvalue_mid_max_ratio,0.0,3.0
EDR072,electron_beta,0.032299170364227456,3.0
EDR072,thermal_current_fraction,0.6262777235553618,3.0
