event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,center_shift_seconds
EDR013,baseline:pressure_anisotropy_abs,0.09776319609694377,0.7878112225938312,3.42,False,False,False,0.0,,,-0.03
EDR013,nonlinear_invariant,0.6303756519442794,0.976960237829803,0.03000000000000025,True,True,True,0.3333333333333333,0.051371215631253825,0.036595747075347525,-0.03
EDR013,sparse_invariant,0.5280176613509947,0.9769602378298031,0.41999999999999993,False,False,True,0.3333333333333333,0.053225304791283984,0.05443472423512973,-0.03
EDR014,baseline:D_e_abs,0.38662184873949584,0.9237458193979933,0.0,True,True,True,0.4,,,-0.03
EDR014,baseline:D_e_normalized,0.044051197900975794,0.7832775919732442,3.96,False,False,False,0.0,,,-0.03
EDR014,baseline:D_e_positive,0.39539473684210524,0.848494983277592,0.0,True,True,True,0.4,,,-0.03
EDR014,baseline:E_parallel_abs,0.3916666666666667,0.9498327759197325,0.0,True,True,True,0.4,,,-0.03
EDR014,baseline:E_prime_magnitude,0.3001447220745466,0.8842809364548494,0.0,True,True,True,0.2,,,-0.03
EDR014,baseline:J_magnitude,0.9111111111111111,0.9973244147157191,0.03000000000000025,True,True,True,0.8,,,-0.03
EDR014,baseline:Q,0.6783333333333333,0.9939799331103679,0.0,True,True,True,0.4,,,-0.03
EDR014,baseline:pressure_anisotropy_abs,0.01343997227720736,0.29498327759197324,0.3600000000000003,False,False,True,0.0,,,-0.03
EDR014,nonlinear_invariant,0.5822222222222222,0.9926421404682274,1.4699999999999998,False,False,False,0.4,0.06888083625972644,0.059293773874410524,-0.03
EDR014,sparse_invariant,0.821111111111111,0.9959866220735786,0.2699999999999996,False,True,True,0.6,0.0624623869946114,0.061963672638319416,-0.03
EDR015,baseline:D_e_abs,0.6831646024975591,0.9481605351170569,0.05999999999999961,True,True,True,0.5,,,-0.03
EDR015,baseline:D_e_normalized,0.033461150699369266,0.5857023411371237,1.7699999999999996,False,False,False,0.0,,,-0.03
EDR015,baseline:D_e_positive,0.553389657980456,0.7905518394648828,0.0,True,True,True,0.5,,,-0.03
EDR015,baseline:E_parallel_abs,0.2973849804139238,0.9435618729096991,0.54,False,False,True,0.125,,,-0.03
EDR015,baseline:E_prime_magnitude,0.8614448051948052,0.9958193979933111,0.02999999999999936,True,True,True,0.5,,,-0.03
EDR015,baseline:J_magnitude,0.9472222222222222,0.9983277591973244,0.05999999999999961,True,True,True,0.5,,,-0.03
EDR015,baseline:Q,0.7200892857142858,0.9824414715719064,0.05999999999999961,True,True,True,0.5,,,-0.03
EDR015,baseline:pressure_anisotropy_abs,0.029023751602200457,0.5292642140468227,5.13,False,False,False,0.0,,,-0.03
EDR015,nonlinear_invariant,0.5707656926406927,0.9887123745819397,5.3100000000000005,False,False,False,0.25,0.026354237562608386,0.019361666006069273,-0.03
EDR015,sparse_invariant,0.9861111111111112,0.9995819397993311,0.05999999999999961,True,True,True,0.5,0.039030593300133254,0.04396405945491346,-0.03
EDR017,baseline:D_e_abs,0.34115186615186616,0.9038461538461539,3.3600000000000003,False,False,False,0.25,,,-0.03
EDR017,baseline:D_e_normalized,0.03094568429477596,0.3219063545150502,4.32,False,False,False,0.0,,,-0.03
EDR017,baseline:D_e_positive,0.1349009900990099,0.4448160535117057,3.3600000000000003,False,False,False,0.25,,,-0.03
EDR017,baseline:E_parallel_abs,0.053169563279857404,0.6948160535117057,4.26,False,False,False,0.0,,,-0.03
EDR017,baseline:E_prime_magnitude,0.013221022704988076,0.3938127090301003,4.74,False,False,False,0.0,,,-0.03
EDR017,baseline:J_magnitude,0.6666666666666666,0.9933110367892978,0.17999999999999972,False,True,True,0.5,,,-0.03
EDR017,baseline:Q,0.07248112248112248,0.8227424749163879,0.14999999999999947,True,True,True,0.0,,,-0.03
EDR017,baseline:pressure_anisotropy_abs,0.010138308720164246,0.2157190635451505,4.68,False,False,False,0.0,,,-0.03
EDR017,nonlinear_invariant,0.27485380116959063,0.9682274247491638,0.17999999999999972,False,True,True,0.25,0.012552792679209585,0.00554493700447657,-0.03
EDR017,sparse_invariant,0.20666666666666667,0.959866220735786,0.14999999999999947,True,True,True,0.25,0.03540055184032009,0.026728428496719317,-0.03
EDR018,baseline:D_e_abs,0.13407040654223432,0.8036175710594314,0.5999999999999996,False,False,True,0.1111111111111111,,,-0.03
EDR018,baseline:D_e_normalized,0.03531290833746374,0.5441122185308231,4.59,False,False,False,0.0,,,-0.03
EDR018,baseline:D_e_positive,0.08276218124415469,0.5898855666297527,0.5999999999999996,False,False,True,0.0,,,-0.03
EDR018,baseline:E_parallel_abs,0.15706853944539265,0.8785529715762274,3.0600000000000005,False,False,False,0.0,,,-0.03
EDR018,baseline:E_prime_magnitude,0.06161529346574285,0.7039497969730528,0.5999999999999996,False,False,True,0.0,,,-0.03
EDR018,baseline:J_magnitude,0.4830182163515497,0.9808047249907714,0.8399999999999999,False,False,False,0.2222222222222222,,,-0.03
EDR018,baseline:Q,0.4632521625479373,0.9180509413067552,2.67,False,False,False,0.3333333333333333,,,-0.03
EDR018,baseline:pressure_anisotropy_abs,0.05056728053604563,0.7061646363971945,0.5099999999999998,False,False,True,0.0,,,-0.03
EDR018,nonlinear_invariant,0.6328784925276154,0.9852344038390549,0.8700000000000001,False,False,False,0.3333333333333333,0.03148075720160076,0.027894382141161557,-0.03
EDR018,sparse_invariant,0.650661201385839,0.9804355850867479,0.02999999999999936,True,True,True,0.3333333333333333,0.052796636094146226,0.047968128226692476,-0.03
EDR019,baseline:D_e_abs,0.6757303830806554,0.9352465047829286,0.03000000000000025,True,True,True,0.4444444444444444,,,-0.03
EDR019,baseline:D_e_normalized,0.09560030799043645,0.8057395143487859,5.73,False,False,False,0.0,,,-0.03
EDR019,baseline:D_e_positive,0.7585154309292241,0.9716703458425313,0.03000000000000025,True,True,True,0.4444444444444444,,,-0.03
EDR019,baseline:E_parallel_abs,0.41875662613972264,0.895879323031641,0.0,True,True,True,0.2222222222222222,,,-0.03
EDR019,baseline:E_prime_magnitude,0.26404969452620697,0.6938925680647534,0.0,True,True,True,0.2222222222222222,,,-0.03
EDR019,baseline:J_magnitude,1.0000000000000002,1.0,0.0,True,True,True,0.4444444444444444,,,-0.03
EDR019,baseline:Q,0.03810177009403679,0.608167770419426,2.219999999999999,False,False,False,0.0,,,-0.03
EDR019,baseline:pressure_anisotropy_abs,0.019319343223674415,0.17954378219278883,2.039999999999999,False,False,False,0.0,,,-0.03
EDR019,nonlinear_invariant,0.9888888888888889,0.9996320824135393,0.0,True,True,True,0.4444444444444444,0.016211537499528205,0.029478330027740952,-0.03
EDR019,sparse_invariant,0.31656997323663993,0.9558498896247241,2.219999999999999,False,False,False,0.2222222222222222,0.0461173996569585,0.046644989213661975,-0.03
EDR020,baseline:D_e_abs,0.4360630053121684,0.8829431438127091,0.47999999999999954,False,False,True,0.3333333333333333,,,-0.03
EDR020,baseline:D_e_normalized,0.038405208686870154,0.5700483091787439,2.04,False,False,False,0.0,,,-0.03
EDR020,baseline:D_e_positive,0.2657647228268697,0.6954663693794129,0.47999999999999954,False,False,True,0.2222222222222222,,,-0.03
EDR020,baseline:E_parallel_abs,0.16175684326176878,0.6499442586399109,0.0,True,True,True,0.1111111111111111,,,-0.03
EDR020,baseline:E_prime_magnitude,0.19498961923728583,0.716462281679673,0.0,True,True,True,0.1111111111111111,,,-0.03
EDR020,baseline:J_magnitude,0.8708592132505177,0.992196209587514,0.47999999999999954,False,False,True,0.4444444444444444,,,-0.03
EDR020,baseline:Q,0.5557529507529507,0.973615756224452,0.3899999999999997,False,False,True,0.3333333333333333,,,-0.03
EDR020,baseline:pressure_anisotropy_abs,0.04207773436605491,0.6469713861018209,1.92,False,False,False,0.0,,,-0.03
EDR020,nonlinear_invariant,0.8612654320987656,0.9947974730583425,0.54,False,False,True,0.4444444444444444,0.016232226800464763,0.02547573008690149,-0.03
EDR020,sparse_invariant,0.8320546737213406,0.9803047194351542,0.3899999999999997,False,False,True,0.4444444444444444,0.0414398357430298,0.04040930231138173,-0.03
EDR021,baseline:D_e_abs,0.3100774772817783,0.9433479532163742,0.20999999999999996,False,True,True,0.0,,,-0.03
