event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error
EDR066,baseline:D_e_normalized,0.23614688416366525,0.8644444444444446,0.05999999999999961,True,True,True,0.1111111111111111,,
EDR066,baseline:D_e_positive,0.8604938271604938,0.99,0.0,True,True,True,0.4444444444444444,,
EDR066,baseline:E_parallel_abs,0.21186942749911264,0.7514814814814815,1.62,False,False,False,0.2222222222222222,,
EDR066,baseline:E_prime_magnitude,0.7511515717398072,0.9892592592592593,0.0,True,True,True,0.3333333333333333,,
EDR066,baseline:J_magnitude,0.7339309290528804,0.9425925925925925,0.0,True,True,True,0.4444444444444444,,
EDR066,baseline:Q,0.744833927936943,0.9207407407407407,0.05999999999999961,True,True,True,0.4444444444444444,,
EDR066,baseline:pressure_anisotropy_abs,0.10709683043262964,0.7585185185185185,0.27000000000000046,False,True,True,0.0,,
EDR072,baseline:D_e_abs,0.07613819090305336,0.7985714285714285,3.9,False,False,False,0.0,,
EDR072,baseline:D_e_normalized,0.015604094282085233,0.19333333333333333,4.32,False,False,False,0.0,,
EDR072,baseline:D_e_positive,0.02280130293159609,0.185,3.9,False,False,False,0.0,,
EDR072,baseline:E_parallel_abs,0.09293839798085292,0.7438095238095237,4.47,False,False,False,0.14285714285714285,,
EDR072,baseline:E_prime_magnitude,0.021330669660552866,0.42000000000000004,4.47,False,False,False,0.0,,
EDR072,baseline:J_magnitude,0.9999999999999998,1.0,0.08999999999999986,True,True,True,0.5714285714285714,,
EDR072,baseline:Q,0.6529405553795797,0.9452380952380952,0.14999999999999947,True,True,True,0.5714285714285714,,
EDR072,baseline:pressure_anisotropy_abs,0.04862836798622927,0.5752380952380951,3.48,False,False,False,0.0,,
