event_id,trial,feature,maximum_relative_discrepancy
EDR001,25,J_parallel_fraction_abs,4.304158231578665e-14
EDR001,25,J_perpendicular_fraction,4.098563619596842e-15
EDR001,25,Q,1.1057411389796778e-10
EDR001,25,pressure_anisotropy,4.135494494611526e-12
EDR001,25,pressure_deviatoric_fraction,4.563400881202877e-14
EDR001,25,eigenvalue_min_max_ratio,1.352235603824389e-15
EDR001,25,eigenvalue_mid_max_ratio,1.936737052759318e-15
EDR001,25,electron_beta,7.784530951124673e-16
EDR001,25,thermal_current_fraction,2.5162397201317403e-15
EDR001,26,D_e_normalized,2.1761030834746328e-13
EDR001,26,D_e_normalized_abs,2.1761030834746328e-13
EDR001,26,E_prime_normalized,1.0282478096627038e-14
EDR001,26,E_parallel_fraction,9.605345817402252e-13
EDR001,26,J_parallel_fraction,3.3565612370343945e-14
EDR001,26,J_parallel_fraction_abs,3.3565612370343945e-14
EDR001,26,J_perpendicular_fraction,8.010828892848308e-15
EDR001,26,Q,1.1057411389796778e-10
EDR001,26,pressure_anisotropy,1.6290406173774035e-12
EDR001,26,pressure_deviatoric_fraction,2.4106100700139492e-14
EDR001,26,eigenvalue_min_max_ratio,1.7188177314091042e-15
EDR001,26,eigenvalue_mid_max_ratio,1.91553306443578e-15
EDR001,26,electron_beta,8.088501830890134e-16
EDR001,26,thermal_current_fraction,3.6225077627684065e-15
EDR001,27,D_e_normalized,3.189606500036904e-13
EDR001,27,D_e_normalized_abs,3.189606500036904e-13
EDR001,27,E_prime_normalized,1.2233780615763869e-14
EDR001,27,E_parallel_fraction,1.10849571680627e-12
EDR001,27,J_parallel_fraction,1.1626078027716897e-14
EDR001,27,J_parallel_fraction_abs,1.1626078027716897e-14
EDR001,27,J_perpendicular_fraction,6.893038814776506e-15
EDR001,27,Q,6.775138402380771e-11
EDR001,27,pressure_anisotropy,2.443560926070086e-12
EDR001,27,pressure_deviatoric_fraction,4.517988275622178e-14
EDR001,27,eigenvalue_min_max_ratio,1.7188177314091042e-15
EDR001,27,eigenvalue_mid_max_ratio,1.6601286558443425e-15
EDR001,27,electron_beta,7.830697429982289e-16
