event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,ablation
EDR015,nonlinear_invariant,0.5833333333333334,0.9916666666666666,5.34,False,False,False,0.0,0.021120480977726487,0.034239452954156216,field_velocity_only
EDR015,sparse_invariant,0.9999999999999998,1.0,0.03000000000000025,True,True,True,0.5714285714285714,0.042341331075123674,0.04998666586692042,field_velocity_only
EDR017,nonlinear_invariant,0.2583701429289665,0.9636111111111111,4.92,False,False,False,0.0,0.017952245483552495,0.011535452618535426,field_velocity_only
EDR017,sparse_invariant,0.5375742721330956,0.9661111111111111,0.17999999999999972,False,True,True,0.3333333333333333,0.034678374388281884,0.026700903037295266,field_velocity_only
EDR018,nonlinear_invariant,0.29321153052220866,0.9016666666666667,3.54,False,False,False,0.0,0.037398295349930534,0.024494385357255337,field_velocity_only
EDR018,sparse_invariant,0.5180643404747548,0.906,0.0,True,True,True,0.3,0.06365518228069277,0.0461734767319969,field_velocity_only
EDR019,nonlinear_invariant,0.7091558441558441,0.9933554817275746,0.7800000000000002,False,False,False,0.1,0.013082765041926249,0.02530399751412895,field_velocity_only
EDR019,sparse_invariant,0.9051373626373626,0.9966777408637875,0.0,True,True,True,0.4,0.026145444046642347,0.040889091175249644,field_velocity_only
EDR020,nonlinear_invariant,0.24267170851947667,0.8821666666666667,2.22,False,False,False,0.3,0.021625880565575864,0.008586869573417179,field_velocity_only
EDR020,sparse_invariant,0.8384024024024023,0.973,0.47999999999999954,False,False,True,0.4,0.04621470103387579,0.04958460046833093,field_velocity_only
EDR021,nonlinear_invariant,0.16260850843297653,0.8844262295081967,0.03000000000000025,True,True,True,0.1,0.019205128621910462,0.018421753511348032,field_velocity_only
EDR021,sparse_invariant,0.23487494430816258,0.8819672131147541,0.03000000000000025,True,True,True,0.1,0.038207621405040595,0.011774287828195184,field_velocity_only
EDR022,nonlinear_invariant,0.5321769733534439,0.7747222222222222,0.0,True,True,True,0.5,0.015805686332230177,0.012419763290618554,field_velocity_only
EDR022,sparse_invariant,0.5319279033710773,0.8655555555555556,0.0,True,True,True,0.5,0.031555001449357786,0.024543208639680028,field_velocity_only
EDR023,nonlinear_invariant,1.0,1.0,0.5700000000000003,False,False,True,0.4,0.03531052874458325,0.03784993648843727,field_velocity_only
EDR023,sparse_invariant,0.9999999999999999,1.0,0.03000000000000025,True,True,True,0.4,0.05761362677044606,0.07060677058651216,field_velocity_only
EDR025,nonlinear_invariant,0.3440319865319865,0.9480198019801981,0.0600000000000005,True,True,True,0.1,0.020489112390276933,0.008638302300601397,field_velocity_only
EDR025,sparse_invariant,0.228746765574596,0.9303630363036304,3.0600000000000005,False,False,False,0.0,0.037178372618385504,0.026531540610953922,field_velocity_only
EDR028,nonlinear_invariant,0.5,0.9883333333333333,0.20999999999999996,False,True,True,0.5714285714285714,0.023672394433169545,0.03455790921231546,field_velocity_only
EDR028,sparse_invariant,0.9999999999999998,1.0,0.0600000000000005,True,True,True,0.5714285714285714,0.03930621836451275,0.049362981119866464,field_velocity_only
EDR034,nonlinear_invariant,0.36942599162387313,0.7901666666666667,0.0,True,True,True,0.2,0.01005088472843448,0.02129195520718544,field_velocity_only
EDR034,sparse_invariant,0.39567068358224,0.7216666666666667,0.0,True,True,True,0.2,0.022320789013227885,0.008987328516977481,field_velocity_only
EDR035,nonlinear_invariant,0.7621212121212121,0.9558333333333333,0.33000000000000007,False,False,True,0.4,0.012689338493314896,0.01667800743151121,field_velocity_only
EDR035,sparse_invariant,0.7773809523809523,0.9693333333333334,0.0,True,True,True,0.4,0.028536951495726465,0.03416035901663878,field_velocity_only
