noise_fraction,trial,method,auprc,improvement_survives
0.005,28,nonlinear_invariant,0.5897716991946992,False
0.005,28,sparse_invariant,0.6211376993339773,False
0.005,29,baseline:D_e_abs,0.38545118253559013,False
0.005,29,baseline:D_e_normalized,0.0554175805537021,False
0.005,29,baseline:D_e_positive,0.31636992061068253,False
0.005,29,baseline:E_parallel_abs,0.23233617914756485,False
0.005,29,baseline:E_prime_magnitude,0.220732544328912,False
0.005,29,baseline:J_magnitude,0.7202213249337057,False
0.005,29,baseline:Q,0.3943163869987784,False
0.005,29,baseline:pressure_anisotropy_abs,0.1549869672995822,False
0.005,29,nonlinear_invariant,0.5757538379306683,False
0.005,29,sparse_invariant,0.6198450369111727,False
0.005,30,baseline:D_e_abs,0.3866485318149591,False
0.005,30,baseline:D_e_normalized,0.05505852091895186,False
0.005,30,baseline:D_e_positive,0.31676983709068307,False
0.005,30,baseline:E_parallel_abs,0.235457005307491,False
0.005,30,baseline:E_prime_magnitude,0.2213590374640921,False
0.005,30,baseline:J_magnitude,0.7200751583920129,False
0.005,30,baseline:Q,0.39445029329621734,False
0.005,30,baseline:pressure_anisotropy_abs,0.15416798097711917,False
0.005,30,nonlinear_invariant,0.5790391036381832,False
0.005,30,sparse_invariant,0.6175048554870733,False
0.005,31,baseline:D_e_abs,0.38476077769800393,False
0.005,31,baseline:D_e_normalized,0.05553568420828636,False
0.005,31,baseline:D_e_positive,0.3150065507885052,False
0.005,31,baseline:E_parallel_abs,0.23343643303836106,False
0.005,31,baseline:E_prime_magnitude,0.22043086251451405,False
0.005,31,baseline:J_magnitude,0.720079355232758,False
0.005,31,baseline:Q,0.39041952717389755,False
0.005,31,baseline:pressure_anisotropy_abs,0.15566990551037407,False
0.005,31,nonlinear_invariant,0.5865484884697406,False
0.005,31,sparse_invariant,0.6181867695257903,False
0.005,32,baseline:D_e_abs,0.3873319133375308,False
0.005,32,baseline:D_e_normalized,0.054956262616751544,False
0.005,32,baseline:D_e_positive,0.3156956299664882,False
0.005,32,baseline:E_parallel_abs,0.2325022880889797,False
0.005,32,baseline:E_prime_magnitude,0.2183075911323562,False
0.005,32,baseline:J_magnitude,0.7194868054331528,False
0.005,32,baseline:Q,0.395413033673385,False
0.005,32,baseline:pressure_anisotropy_abs,0.1544980735380724,False
0.005,32,nonlinear_invariant,0.584940417188811,False
0.005,32,sparse_invariant,0.617158271267923,False
