unique_trajectory_identifier,beginning_utc_time,iau_code,sol_lon_deg,lamgeo_deg,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,sigma_9,sigma_15,sigma_10,sigma_11,sigma_12,medianfiterr_arcsec,num_stat,participating_stations,label,event_id,canonical_target_member,timestamp_key,trajectory_ids,trajectory_count
20250425063625_FffqS,2025-04-25 06:36:25.323411,,34.96249,246.20797,7.6561,37.63267,0.944243,0.076598,26.017021,334.450663,34.969191,0.0003,0.0004,0.1844,0.0745,0.0001,28.23,2,"['US0020', 'USL015']",SPORADIC,20250425063625_FffqS,True,20250425063625,20250425063625_FffqS,1
20250425092149_UkyHc,2025-04-25 09:21:49.672478,,35.074376,244.99671,7.86709,39.56823,0.956196,0.076141,28.280711,332.988185,35.082517,0.0027,0.0028,1.2263,0.9837,0.0004,55.52,4,"['USL00X', 'USL011', 'USL012', 'USL01E']",SPORADIC,20250425092149_UkyHc,True,20250425092149,20250425092149_UkyHc,1
20250425094115_SdkSh,2025-04-25 09:41:15.935675,,35.087524,247.80932,7.91591,36.62078,0.93879,0.073881,26.737782,335.990369,35.09652,0.0017,0.0018,1.1743,0.3012,0.0004,41.28,3,"['US000J', 'USL004', 'USL01C']",SPORADIC,20250425094115_SdkSh,True,20250425094115,20250425094115_SdkSh,1
20250425135239_dV5qL,2025-04-25 13:52:39.782124,,35.257565,246.97368,8.05449,36.12586,0.931409,0.084121,25.088404,334.184009,35.263744,0.0013,0.0025,1.0433,0.5048,0.0004,22.84,2,"['NZ000L', 'NZ0029']",SPORADIC,20250425135239_dV5qL,True,20250425135239,20250425135239_dV5qL,1
20250425150758_nITBy,2025-04-25 15:07:58.556648,,35.308503,246.81247,8.74096,39.2947,0.953653,0.071506,32.648863,334.548935,35.313702,0.0025,0.0061,2.0151,1.4918,0.0004,36.7,2,"['KR000P', 'KR002R']",SPORADIC,20250425150758_nITBy,True,20250425150758,20250425150758_nITBy,1
20250425161753_ymV3h,2025-04-25 16:17:53.184268,,35.355786,245.32404,5.31669,37.36042,0.945136,0.078372,17.41785,333.851404,35.363961,0.0044,0.0056,0.6675,0.9462,0.0005,53.61,4,"['NZ0007', 'NZ000B', 'NZ000K', 'NZ002T']",SPORADIC,20250425161753_ymV3h,False,20250425161753,20250425161753_ymV3h,1
20250425180022_rDtvm,2025-04-25 18:00:22.160532,,35.425096,244.4857,5.58481,39.4185,0.959188,0.073441,19.96595,333.302403,35.431376,0.0019,0.003,1.0763,0.5772,0.0005,31.25,2,"['AU0010', 'AU001X']",SPORADIC,20250425180022_rDtvm,False,20250425180022,20250425180022_rDtvm,1
20250426152659_6Gcpz,2025-04-26 15:26:59.040343,,36.29505,246.45025,6.33271,37.62138,0.945564,0.078801,20.972475,333.687584,36.301402,0.0042,0.007,0.661,1.3799,0.0003,102.08,5,"['NZ0013', 'NZ001X', 'NZ003U', 'NZ004E', 'NZ004Y']",SPORADIC,20250426152659_6Gcpz,True,20250426152659,20250426152659_6Gcpz,1
20250426173420_ZzVsy,2025-04-26 17:34:20.079968,,36.381138,246.1505,5.10104,39.33718,0.96052,0.067104,19.004073,334.815016,36.387717,0.0015,0.0021,1.4462,0.3919,0.0008,76.32,7,"['NZ0012', 'NZ0018', 'NZ001V', 'NZ0026', 'NZ002C', 'NZ0047', 'NZ004D']",SPORADIC,20250426173420_ZzVsy,False,20250426173420,20250426173420_ZzVsy,1
20250426232357_GNe2H,2025-04-26 23:23:57.251683,,36.617458,247.4874,8.26014,37.09791,0.937301,0.085041,26.327681,333.148277,36.625713,0.0043,0.0049,1.1965,0.7523,0.0005,57.74,2,"['CZ000A', 'CZ000P']",SPORADIC,20250426232357_GNe2H,True,20250426232357,20250426232357_GNe2H,1
20250427101726_SpGVY,2025-04-27 10:17:26.794108,,37.059102,247.50799,8.28176,37.43939,0.93932,0.086115,26.471852,332.610027,37.067345,0.0013,0.0031,2.142,0.6387,0.0008,28.2,2,"['NZ000L', 'NZ000V']",SPORADIC,20250427101726_SpGVY,True,20250427101726,20250427101726_SpGVY,1
20250427111229_2riz9,2025-04-27 11:12:29.026367,,37.096292,247.98083,6.79274,38.13158,0.950021,0.072412,23.915558,334.806302,37.106945,0.01,0.0035,5.1331,0.4708,0.0015,131.58,2,"['US000S', 'US0027']",SPORADIC,20250427111229_2riz9,True,20250427111229,20250427111229_2riz9,1
20250427143535_kHfIE,2025-04-27 14:35:35.114966,,37.233529,247.77745,7.29738,37.31953,0.94146,0.081645,23.716162,333.489939,37.23963,0.0006,0.0007,0.4448,0.239,0.0001,54.19,8,"['NZ000D', 'NZ000M', 'NZ000N', 'NZ0011', 'NZ001Z', 'NZ0020', 'NZ002E', 'NZ003Z']",SPORADIC,20250427143535_kHfIE,True,20250427143535,20250427143535_kHfIE,1
20250427163849_iIo6c,2025-04-27 16:38:49.572867,,37.316799,247.3671,7.88729,36.63561,0.932716,0.092072,23.741852,331.951227,37.323021,0.004,0.0056,0.3791,0.852,0.0001,19.12,2,"['AU002C', 'AU003J']",SPORADIC,20250427163849_iIo6c,True,20250427163849,20250427163849_iIo6c,1
20250427205741_U5cuV,2025-04-27 20:57:41.073656,,37.491689,246.67141,6.35984,40.58039,0.966128,0.069043,24.342368,333.564926,37.495166,0.0008,0.003,1.4545,0.6636,0.0004,70.12,3,"['AU000A', 'AU000C', 'AU001A']",SPORADIC,20250427205741_U5cuV,False,20250427205741,20250427205741_U5cuV,1
20250428020357_dwsno,2025-04-28 02:03:57.517293,,37.698592,248.21474,7.4495,38.33222,0.949177,0.076587,25.755898,333.799151,37.708038,0.0003,0.0008,0.2717,0.1726,0.0001,30.68,2,"['ES0004', 'ES000D']",SPORADIC,20250428020357_dwsno,True,20250428020357,20250428020357_dwsno,1
20250428021707_CJzTI,2025-04-28 02:17:07.207075,,37.707483,248.16323,6.20393,35.3517,0.926364,0.090963,17.954859,333.061313,37.721563,0.0021,0.0044,1.6854,0.9732,0.0015,150.4,4,"['UK0025', 'UK008Q', 'UK00A2', 'UK00AB']",SPORADIC,20250428021707_CJzTI,True,20250428021707,20250428021707_CJzTI,1
20250428022950_dNshR,2025-04-28 02:29:50.705046,,37.716079,247.71352,6.94796,39.0362,0.954968,0.074077,24.781834,333.69481,37.726199,0.0025,0.0033,2.278,0.5509,0.0009,56.41,10,"['UK000F', 'UK003N', 'UK0045', 'UK005P', 'UK006U', 'UK0079', 'UK008T', 'UK00AF', 'UK00AK', 'UK00CA']",SPORADIC,20250428022950_dNshR,True,20250428022950,20250428022950_dNshR,1
20250428034614_PK2wc,2025-04-28 03:46:14.110521,,37.76768,248.83584,7.34708,38.93427,0.954867,0.069078,27.244506,335.060256,37.770696,0.0017,0.0034,0.5804,0.8456,0.0001,62.08,2,"['ZA0001', 'ZA000C']",SPORADIC,20250428034614_PK2wc,True,20250428034614,20250428034614_PK2wc,1
20250428060958_F0cK2,2025-04-28 06:09:58.193094,,37.864768,248.59281,7.48153,38.60749,0.951555,0.073733,26.596796,334.242981,37.873164,0.0027,0.0041,0.2718,0.7352,0.0001,58.71,2,"['US002D', 'US0035']",SPORADIC,20250428060958_F0cK2,True,20250428060958,20250428060958_F0cK2,1
20250428063243_XL5xF,2025-04-28 06:32:43.528436,,37.880139,248.10474,7.43963,38.30469,0.948516,0.078737,25.32748,333.323063,37.889123,0.0112,0.0036,0.9917,2.1393,0.0004,48.79,3,"['US003P', 'US003Q', 'US005Q']",SPORADIC,20250428063243_XL5xF,True,20250428063243,20250428063243_XL5xF,1
