delta_left_deg,delta_right_deg,delta_center_deg,solar_longitude_center_deg,stream_count,background_count,exposure_sufficient,fraction_mean,rate_per_1000_background,rate_low,rate_high,by_year,posterior_probability_above_baseline,excess_rate_per_1000_background
-6.5,-6.0,-6.25,30.651963000000002,1,924,True,0.0016198704103671706,1.6224986479177934,0.11668444772463835,5.067353946418958,"{""2022"": {""background"": 114, ""stream"": 0}, ""2023"": {""background"": 139, ""stream"": 0}, ""2024"": {""background"": 125, ""stream"": 1}, ""2025"": {""background"": 245, ""stream"": 0}, ""2026"": {""background"": 301, ""stream"": 0}}",0.3972151987741447,0.01863973926539675
-6.0,-5.5,-5.75,31.151963000000002,0,771,True,0.0006476683937823834,0.6480881399870382,0.0006366738270294218,3.262285710198895,"{""2022"": {""background"": 31, ""stream"": 0}, ""2023"": {""background"": 127, ""stream"": 0}, ""2024"": {""background"": 87, ""stream"": 0}, ""2025"": {""background"": 254, ""stream"": 0}, ""2026"": {""background"": 272, ""stream"": 0}}",0.11589253039080886,0.0
-5.5,-5.0,-5.25,31.651963000000002,2,868,True,0.0028702640642939152,2.878526194588371,0.47823446876692327,7.408679912855693,"{""2022"": {""background"": 89, ""stream"": 0}, ""2023"": {""background"": 151, ""stream"": 1}, ""2024"": {""background"": 167, ""stream"": 0}, ""2025"": {""background"": 155, ""stream"": 0}, ""2026"": {""background"": 306, ""stream"": 1}}",0.7329255859862851,1.2746672859359744
-5.0,-4.5,-4.75,32.151963,2,967,True,0.002577319587628866,2.5839793281653747,0.42932623197600184,6.648656255081768,"{""2022"": {""background"": 34, ""stream"": 0}, ""2023"": {""background"": 124, ""stream"": 0}, ""2024"": {""background"": 84, ""stream"": 0}, ""2025"": {""background"": 292, ""stream"": 1}, ""2026"": {""background"": 433, ""stream"": 1}}",0.6840507541347371,0.980120419512978
-4.5,-4.0,-4.25,32.651963,2,888,True,0.0028058361391694723,2.8137310073157002,0.4674760424028355,7.241450197107568,"{""2022"": {""background"": 91, ""stream"": 0}, ""2023"": {""background"": 128, ""stream"": 0}, ""2024"": {""background"": 127, ""stream"": 0}, ""2025"": {""background"": 149, ""stream"": 0}, ""2026"": {""background"": 393, ""stream"": 2}}",0.7230708409047103,1.2098720986633036
-4.0,-3.5,-3.75,33.151963,2,1046,True,0.0023832221163012394,2.388915432393693,0.3969332804322369,6.145571991303755,"{""2022"": {""background"": 30, ""stream"": 0}, ""2023"": {""background"": 64, ""stream"": 0}, ""2024"": {""background"": 70, ""stream"": 0}, ""2025"": {""background"": 398, ""stream"": 0}, ""2026"": {""background"": 484, ""stream"": 2}}",0.6451894736255014,0.7850565237412965
-3.5,-3.0,-3.25,33.651963,2,859,True,0.002900232018561485,2.9086678301337985,0.48323900563634875,7.4864796287581825,"{""2022"": {""background"": 97, ""stream"": 0}, ""2023"": {""background"": 144, ""stream"": 0}, ""2024"": {""background"": 56, ""stream"": 0}, ""2025"": {""background"": 188, ""stream"": 1}, ""2026"": {""background"": 374, ""stream"": 1}}",0.7373527752934099,1.3048089214814018
-3.0,-2.5,-2.75,34.151963,5,1295,True,0.004227517294388932,4.245465071401004,1.4712225183089627,8.481184822354681,"{""2022"": {""background"": 42, ""stream"": 0}, ""2023"": {""background"": 117, ""stream"": 1}, ""2024"": {""background"": 47, ""stream"": 0}, ""2025"": {""background"": 457, ""stream"": 1}, ""2026"": {""background"": 632, ""stream"": 3}}",0.9650174191873142,2.641606162748607
-2.5,-2.0,-2.25,34.651963,2,779,True,0.00319693094629156,3.2071840923669015,0.5327993351817544,8.257240002221822,"{""2022"": {""background"": 123, ""stream"": 1}, ""2023"": {""background"": 71, ""stream"": 0}, ""2024"": {""background"": 58, ""stream"": 0}, ""2025"": {""background"": 223, ""stream"": 1}, ""2026"": {""background"": 304, ""stream"": 0}}",0.7763722254519181,1.6033251837145048
-2.0,-1.5,-1.75,35.151963,11,1093,True,0.010407239819004524,10.516689529035208,5.333229153860504,17.47797393930331,"{""2022"": {""background"": 27, ""stream"": 1}, ""2023"": {""background"": 99, ""stream"": 0}, ""2024"": {""background"": 52, ""stream"": 0}, ""2025"": {""background"": 419, ""stream"": 6}, ""2026"": {""background"": 496, ""stream"": 4}}",0.9999990229968838,8.912830620382811
